Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/9.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00
el-Taha,Joshua,NA,NA,joshua.el_025@example.com,Finished,12 February 2021  1:03 PM,1 March 2021  3:35 AM,16 days 14 hours,5.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00
al-Aydin,Tyler,NA,NA,tyler.al_192@example.com,Finished,12 February 2021  3:36 PM,28 February 2021  10:53 PM,16 days 7 hours,8.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Sawyer,Michael,NA,NA,michael.saw_244@example.com,In progress,16 February 2021  8:43 PM,-,-,-,-,-,-,-,-,-,-,-,-
Snow,Leeah,NA,NA,leeah.sno_016@example.com,Finished,21 February 2021  8:09 PM,28 February 2021  1:37 AM,6 days 5 hours,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
al-Habib,Lawrence,NA,NA,lawrence.al_203@example.com,Finished,22 February 2021  2:27 PM,1 March 2021  2:33 PM,7 days,6.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00
el-Saleem,Isaiah,NA,NA,isaiah.el_140@example.com,Finished,23 February 2021  7:51 PM,23 February 2021  7:59 PM,7 mins 43 secs,6.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00
Jaramillo-Ortiz,Mushtaaqa,NA,NA,mushtaaqa.jar_128@example.com,In progress,23 February 2021  9:30 PM,-,-,-,-,-,-,-,-,-,-,-,-
Webb,Eric,NA,NA,eric.web_095@example.com,Finished,23 February 2021  9:57 PM,23 February 2021  9:58 PM,43 secs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Webb,Eric,NA,NA,eric.web_095@example.com,In progress,23 February 2021  9:58 PM,-,-,-,-,-,-,-,-,-,-,-,-
Page,Brandon,NA,NA,brandon.pag_041@example.com,Finished,24 February 2021  9:34 AM,1 March 2021  10:35 AM,5 days 1 hour,5.00,1.00,1.00,-,1.00,1.00,-,1.00,-,-
Brady,Eugenia,NA,NA,eugenia.bra_022@example.com,Finished,24 February 2021  12:25 PM,24 February 2021  12:38 PM,12 mins 31 secs,7.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00
